,colsample_bytree,label_0_acc,label_1_acc,label_2_acc,label_3_acc,label_4_acc,label_5_acc,lambda_l1,lambda_l2,learning_rate,loss,max_bin,max_depth,min_child_samples,min_child_weight,n_estimators,num_class,num_leaves,subsample,subsample_freq,test_acc
165,0.25,0.962128966223132,0.8054181389870436,0.6469964195730009,0.4987914744012305,0.3925682507583418,0.4073265783320343,0.01,0.01,0.03,1.0501981220753251,450,5,20,0,548,6,15,0.9,2,0.5387102122015915
166,0.25,0.9672466734902764,0.8065959952885748,0.6444768598329134,0.5056031641397495,0.38549039433771487,0.41262665627435696,0.01,0.0001,0.02,1.0500689890814225,250,5,50,0,964,6,15,0.9,1,0.5395667550839964
167,0.3,0.9641760491299898,0.8032979976442874,0.647261636387747,0.5,0.39016683518705764,0.41356196414653157,0.0001,0.01,0.02,1.0502395765413983,250,6,60,0,842,6,11,0.7,2,0.5394562334217506
168,0.3,0.9692937563971341,0.8063604240282686,0.6456703354992707,0.5016479894528675,0.390798786653185,0.4113795791114575,0.01,0.01,0.02,1.0501862283134304,250,7,20,0,836,6,11,0.7,2,0.5397877984084881
169,0.2,0.9662231320368475,0.8025912838633686,0.6401007823896036,0.5056031641397495,0.3925682507583418,0.4082618862042089,0.01,0.0001,0.015,1.0506892339529261,350,6,40,0,1120,6,13,0.7,1,0.5389312555260831
170,0.2,0.9641760491299898,0.7995288574793875,0.6460681607213897,0.5016479894528675,0.38473205257836196,0.41044427123928295,0.01,0.01,0.02,1.0509771572965678,450,4,20,0,850,6,9,0.7,2,0.5374392130857648
171,0.3,0.970317297850563,0.7985865724381626,0.6533616231269063,0.497363216875412,0.3920626895854398,0.40950896336710835,0.001,0.0001,0.02,1.050572440205973,450,4,30,0,713,6,15,0.7,1,0.5393733421750663
172,0.2,0.9570112589559877,0.8065959952885748,0.6370507890200239,0.5091188749725335,0.3832153690596562,0.4116913484021824,0.01,0.01,0.02,1.0506912668666384,250,7,50,0,809,6,17,0.9,1,0.5379641909814323
173,0.2,0.9600818833162743,0.8028268551236749,0.6401007823896036,0.506372225884421,0.38814459049544997,0.40872954014029617,0.0001,0.01,0.02,1.0505970866276317,250,7,40,0,809,6,15,0.8,2,0.5381023430592397
174,0.2,0.9611054247697032,0.8054181389870436,0.6459355523140167,0.504614370468029,0.3839737108190091,0.40872954014029617,0.001,0.001,0.02,1.0505637415411018,550,4,10,0,921,6,13,0.8,3,0.5382957559681698
175,0.25,0.9611054247697032,0.8077738515901061,0.6428855589444371,0.5031861129422105,0.3871334681496461,0.4121590023382697,0.001,0.001,0.02,1.0500629270363395,250,6,60,0,865,6,19,0.8,2,0.5388759946949602
176,0.2,0.9641760491299898,0.8037691401648999,0.6391725235379923,0.509448472863107,0.3834681496461072,0.4098207326578332,0.001,0.001,0.02,1.0505060419884746,350,7,60,0,836,6,15,0.9,1,0.5380747126436781
177,0.3,0.9672466734902764,0.809658421672556,0.6414268664633338,0.510107668644254,0.3762639029322548,0.41808261886204207,0.001,0.0001,0.03,1.0501270048893603,450,5,30,0,595,6,15,0.8,1,0.5393733421750663
178,0.2,0.9651995905834186,0.8084805653710248,0.6366529637979048,0.509228740936058,0.387639029322548,0.4084177708495713,0.01,0.01,0.02,1.050544381799615,550,7,20,0,853,6,13,0.7,3,0.538737842617153
